anime_index,related_anime_indices,related_anime_title
0,0|1|3456|7618,Cowboy Bebop: The Movie | Cowboy Bebop Session XX
1,0|1|3456|7618,Cowboy Bebop: The Movie | Cowboy Bebop Session XX
2,2|3504,
3,3,
4,4|1022,
5,5|1196|4589, | The Illusionary Golden Bowl
6,6|602|1038,Honey and Clover | Honey and Clover Specials | Honey and Clover II
7,7,
8,8|162|163|164|742|743|3389|4035|6823|7222|8120|8710|9904|10757, | Initial D First Stage | Initial D Second Stage |  |  |  |  |  | Initial D Legend 1 Awakening |  | Initial D Legend 2 Racer | 
9,9|1009,
10,10|414|557|696|848|975|1574|1963|2058|2269|3518|3641|4555|4987|5306|6291|6885|7031|7560|9875|11357|12508|12808,Naruto: The Lost Story - Mission: Protect the Waterfall Village | Naruto: Find the Crimson Four-leaf Clover! | Naruto the Movie 2: Legend of the Stone of Gelel |  | Naruto: Shippuden | Hidden Leaf Village Grand Sports Festival | Naruto: Shippuden the Movie | Naruto Shippuden: Konoha Gakuen - Special | Naruto: Shippuden the Movie 2 -Bonds- |  |  |  | NARUTO Spin-Off: Rock Lee & His Ninja Pals | Road to Ninja: Naruto the Movie | Boruto: Naruto the Movie | 
11,11|430|431|432|433|434|435|436|437|994|1128|1129|1840|1927|2185|2186|2284|2466|3526|4050|5262|5512|6027|6673|6851|7257|7408|7420|7452|8025|9309|9859|10912|10982|11234|11388|11866|12003|12294|13465|13476," | One Piece: Clockwork Island Adventure | One Piece: Chopper Kingdom of Strange Animal Island | One Piece: Dead End | One Piece: The Curse of the Sacred Sword | One Piece: Baron Omatsuri and the Secret Island | One Piece: Defeat the Pirate Ganzack! |  | One Piece Special: Open Upon the Great Sea! A Father's Huge, HUGE Dream! |  |  | One Piece The Movie: Episode of Alabasta - The Desert Princess and the Pirates | One Piece: Django's Dance Carnival |  |  |  | One Piece Film Strong World | One Piece: Romance Dawn Story | One Piece Recap | One Piece Film Z |  |  |  |  |  | "
12,12|735|736|900|1085|2536|3465|4299|4411|4733|4864|6147|6282|6354|6420|6535|6899|6942|8534|10116,"The Prince of Tennis: The Two Samurai, The First Game | Prince of Tennis: National Championship Chapter | Prince of Tennis: A Day of the Survival Mountain |  |  |  |  | The Prince of Tennis II |  | The Prince of Tennis II Specials | "
13,13|1610|5161|6174|12366,
14,14|484|764|3444, | School Rumble 2nd Semester | School Rumble 3rd Semester
15,15,Desert Punk
16,16,Texhnolyze
17,17,Trinity Blood
18,18,Yakitate!! Japan
19,19,
20,20|21|22|3515|8834|9739,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion | 
21,20|21|22|3515,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion | 
22,20|21|22|3515,Neon Genesis Evangelion | Neon Genesis Evangelion: Death & Rebirth | Neon Genesis Evangelion: The End of Evangelion | 
23,23|6121|6695|6696|11363|12249|12763|13194,Berserk | Berserk: The Golden Age Arc II - The Battle for Doldrey | 
